year, mean, min, max
1950, 73.8,67.7,77.1
1951, 73.9,67.9,78
1952, 73.8,70.3,77.3
1953, 73.8,70,78.2
1954, 73.7,69.2,77.1
1955, 73.6,69.3,77.1
1956, 73.9,69.5,77.6
1957, 73.6,69.8,77.2
1958, 73.7,69.5,77.6
1959, 73.6,69.6,78.8
1960, 73.7,68.9,78
1961, 73.6,69.5,77.6
1962, 73.7,68.2,77.3
1963, 73.5,69.5,78
1964, 73.6,69.4,77.6
1965, 73.2,69.6,76.8
1966, 73.2,68.4,77.5
1967, 73.3,68.4,77.2
1968, 73.5,69.9,78.2
1969, 73.7,69.1,76.9
1970, 73.7,67.6,77.9
1971, 73.4,66.7,77.6
1972, 73.8,68.7,76.9
1973, 73.8,67.9,77.6
1974, 73.8,69.1,78.8
1975, 73.8,70,77.6
1976, 73.9,69,77.8
1977, 73.9,69.4,77.5
1978, 74,69.5,77.4
1979, 74,68.1,77.9
1980, 73.9,69.6,77.4
1981, 74,68.7,77.4
1982, 73.8,67.9,78.2
1983, 73.9,69,77.8
1984, 73.8,68.9,76.7
1985, 73.8,68.6,77
1986, 74.2,69.2,77.9
1987, 74,70,77
1988, 74.3,70.9,78.3
1989, 74.4,69.3,78.1
1990, 74.4,69.5,78.6
1991, 74.2,69.9,78.1
1992, 73.8,69.2,78
1993, 73.8,67.7,77
1994, 73.9,68.4,77.5
1995, 74.1,67.2,78.9
1996, 74.1,66,77.6
1997, 74.2,67.8,78
1998, 74.4,69.5,77.9
1999, 74.6,70.6,77.9
2000, 74.8,70,78.6
2001, 74.7,70.7,78.8
2002, 74.9,72,79
2003, 74.7,69.6,78.5
2004, 74.6,69.9,78.1
2005, 74.5,69.2,78.2
